Symbol,Company Name,Date-Start,Date-End,Sector,Delisting-Date
AAAB,Admiralty Bancorp Inc,2001-08-13,2003-01-29,Financial,2003-01-28
AAAGY,Altana Aktiengesellschaft,,2010-08-12,Materials,2010-08-12
AAAP,Advanced Accelerator Applications SA,2015-11-11,2018-02-09,Technology,2018-02-09
AAB,Astrazeneca Ab,1996-05-23,1999-04-05,Healthcare,1999-04-05
AABA,Altaba Inc,2017-06-19,2019-10-02,Financial,2019-10-02
AABC,Access Anytime Bancorp Inc,1996-10-21,2006-01-03,Financial,2006-01-03
AACC,Asset Acceptance Capital Corp,2004-02-05,2013-06-13,Financial,2013-06-13
AACE,Ace Cash Express Inc,1992-12-02,2006-10-05,Financial,2006-10-05
AACH,Aac Holdings Inc,,2020-12-14,Healthcare,2020-12-14
AACRF,Ps International Group Ltd.,,2024-04-25,Communication Services,2024-04-25
AADV,Advantage Bancorp Inc,1992-03-23,1998-04-01,Financial,1998-04-01
AAF,American Government Income Portfolio Inc,1965-07-09,1998-08-24,Financial,1998-08-21
AAGR,African Agriculture Holdings Inc,2023-12-07,2024-09-25,Technology,2024-09-25
AAH,Ambassador Apartments Inc,1994-08-24,1998-05-08,Consumer Discretionary,1998-05-08
AAI,Airtran Holdings Inc,1998-10-14,2011-05-02,Financial,2011-05-02
AAIC,Arlington Asset Investment Corp,1987-09-30,2023-12-13,Financial,2023-12-13
AAIIQ,Alabama Aircraft Industries Inc,,2021-08-26,Industrials,2021-08-26
AAIN,Arlington Asset Investment Corp,,2024-01-05,Financial,2024-01-05
AAMCF,Altisource Asset Management Corp,,2024-09-16,Financial,2024-09-16
AAMRQ,Amr Corp,,2013-12-05,Energy,2013-12-05
AAN,Aaron's Company Inc,1997-05-21,2024-10-03,Consumer Discretionary,2024-10-03
AANB,Abigail Adams National Bancorp Inc,1996-07-12,2009-09-30,Financial,2009-09-30
AAPC,Atlantic Alliance Partnership Corp,2015-04-29,2017-10-04,Industrials,2017-10-04
AATC,Autoscope Technologies Corp,2021-07-21,2022-12-29,Communication Services,2022-12-29
AATI,Advanced Analogic Technologies Inc,1986-02-11,2012-01-10,Consumer Discretionary,2012-01-10
AATT,Aavid Thermal Technologies Inc,1996-01-30,2000-02-02,Industrials,2000-02-02
AAUAF,Almaden Minerals Ltd.,,2024-04-04,Materials,2024-04-04
AAVVF,Advantage Oil & Gas Ltd.,,2018-09-21,Energy,2018-09-21
AAWHQ,Atlas Air Worldwide Holdings Inc,,2004-07-28,Financial,2004-07-28
AAWW,Atlas Air Worldwide Holdings Inc,2006-05-31,2023-03-17,Financial,2023-03-17
