Nasdaq Traded,Symbol,Company Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Symbol_Clean,Sector,source,confidence
Y,A,"Agilent Technologies, Inc. Common Stock",N, ,N,100.0,N,,A,A,N,A,Industrials,Nasdaq,100.0
Y,AA,Alcoa Corporation Common Stock ,N, ,N,100.0,N,,AA,AA,N,AA,Industrials,Nasdaq,100.0
Y,AAL,"American Airlines Group, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AAL,N,AAL,Consumer Discretionary,Nasdaq,100.0
Y,AAME,Atlantic American Corporation - Common Stock,Q,G,N,100.0,N,N,,AAME,N,AAME,Finance,Nasdaq,100.0
Y,AAN,"Aaron's, Inc. Common Stock",N, ,N,100.0,N,,AAN,AAN,N,AAN,Real Estate,Wikipedia-High,20.0
Y,AAOI,"Applied Optoelectronics, Inc. - Common Stock",Q,G,N,100.0,N,N,,AAOI,N,AAOI,Technology,Nasdaq,100.0
Y,AAON,"AAON, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AAON,N,AAON,Industrials,Nasdaq,100.0
Y,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N, ,N,100.0,N,,AAP,AAP,N,AAP,Consumer Discretionary,Nasdaq,100.0
Y,AAPL,Apple Inc. - Common Stock,Q,Q,N,100.0,N,N,,AAPL,N,AAPL,Technology,Nasdaq,100.0
Y,AAT,"American Assets Trust, Inc. Common Stock",N, ,N,100.0,N,,AAT,AAT,N,AAT,Real Estate,Nasdaq,100.0
Y,AAU,"Almaden Minerals, Ltd. Common Shares",A, ,N,100.0,N,,AAU,AAU,N,AAU,Materials,Name-Match,60.0
Y,AAWW,Atlas Air Worldwide Holdings - Common Stock,Q,Q,N,100.0,N,N,,AAWW,N,AAWW,Industrials,Wikipedia-High,42.5
Y,AAXN,"Axon Enterprise, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AAXN,N,AAXN,Technology,Wikipedia-High,95.5
Y,ABB,ABB Ltd Common Stock,N, ,N,100.0,N,,ABB,ABB,N,ABB,Industrials,Wikipedia-Medium,30.0
Y,ABBV,AbbVie Inc. Common Stock,N, ,N,100.0,N,,ABBV,ABBV,N,ABBV,Health Care,Nasdaq,100.0
Y,ABC,AmerisourceBergen Corporation Common Stock,N, ,N,100.0,N,,ABC,ABC,N,ABC,Healthcare,Wikipedia-High,174.0
Y,ABCB,Ameris Bancorp - Common Stock,Q,Q,N,100.0,N,N,,ABCB,N,ABCB,Finance,Nasdaq,100.0
